herb_id,herb_name_en,botanical_name,image_url,page_url
HERB-0079,Cranberry,Vaccinium macrocarpon,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/Cranberry_bog.jpg/250px-Cranberry_bog.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,https://en.wikipedia.org/wiki/Vaccinium_macrocarpon
HERB-0080,Flaxseed,Linum usitatissimum,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a8/K%C3%B6hler%27s_Medizinal-Pflanzen_in_naturgetreuen_Abbildungen_mit_kurz_erl%C3%A4uterndem_Texte_%28Plate_16%29_BHL303594.jpg/250px-K%C3%B6hler%27s_Medizinal-Pflanzen_in_naturgetreuen_Abbildungen_mit_kurz_erl%C3%A4uterndem_Texte_%28Plate_16%29_BHL303594.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,https://en.wikipedia.org/wiki/Flax
HERB-0081,Fenugreek,Trigonella foenum-graecum,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ce/Illustration_Trigonella_foenum-graecum0_clean.jpg/250px-Illustration_Trigonella_foenum-graecum0_clean.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,https://en.wikipedia.org/wiki/Fenugreek
HERB-0082,Saw palmetto,Serenoa repens,https://upload.wikimedia.org/wikipedia/commons/thumb/5/56/Serenoa_repens_USDA1.jpg/250px-Serenoa_repens_USDA1.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,https://en.wikipedia.org/wiki/Serenoa
HERB-0083,Horse chestnut,Aesculus hippocastanum,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9b/Illustration_Aesculus_hippocastanum0_clean.jpg/250px-Illustration_Aesculus_hippocastanum0_clean.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,https://en.wikipedia.org/wiki/Aesculus_hippocastanum
HERB-0084,Aloe vera,Aloe vera,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Aloe_vera_flower_inset.png/250px-Aloe_vera_flower_inset.png?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,https://en.wikipedia.org/wiki/Aloe_vera
HERB-0085,Tea tree oil,Melaleuca alternifolia,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d3/Melaleuca_alternifolia_flowers.jpg/250px-Melaleuca_alternifolia_flowers.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,https://en.wikipedia.org/wiki/Melaleuca_alternifolia
HERB-0086,Rosemary,Salvia rosmarinus,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a3/Rosemary_in_bloom.JPG/250px-Rosemary_in_bloom.JPG?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,https://en.wikipedia.org/wiki/Rosemary
HERB-0087,Sage,Salvia officinalis,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Salvia_officinalis0.jpg/250px-Salvia_officinalis0.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,https://en.wikipedia.org/wiki/Salvia_officinalis
HERB-0088,Thyme,Thymus vulgaris,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4f/Thymus_vulgaris1.JPG/250px-Thymus_vulgaris1.JPG?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,https://en.wikipedia.org/wiki/Thymus_vulgaris
